chunk_size,total_size,inverse_compression_ratio
10,4256601728,3.1982
60,853453596,0.6412
110,492763964,0.3702
160,351262071,0.2639
210,278526008,0.2093
260,232222588,0.1745
310,200626885,0.1507
360,178155154,0.1339
410,161308687,0.1212
460,148005131,0.1112
510,137759723,0.1035
560,129978506,0.0977
610,122569148,0.0921
660,116624114,0.0876
710,110818639,0.0833
760,107170517,0.0805
810,103257600,0.0776
860,100311597,0.0754
910,97495814,0.0733
960,93527509,0.0703
1010,91935788,0.0691
1060,90484889,0.0680
1110,87965729,0.0661
1160,87012258,0.0654
1210,85151253,0.0640
1260,83524475,0.0628
1310,81638236,0.0613
1360,81310249,0.0611
1410,80165643,0.0602
1460,80818246,0.0607
1510,78022051,0.0586
1560,77862291,0.0585
1610,78044761,0.0586
1660,74747853,0.0562
1710,75816433,0.0570
1760,76386911,0.0574
1810,75008322,0.0564
1860,75595666,0.0568
1910,75819939,0.0570
1960,73964954,0.0556
2010,73475031,0.0552
2060,73226916,0.0550
2110,73247929,0.0550
2160,72826337,0.0547
2210,73356911,0.0551
2260,73282862,0.0551
2310,72848633,0.0547
2360,73002234,0.0549
2410,72565843,0.0545
2460,71729944,0.0539
2510,72251109,0.0543
2560,71686542,0.0539
2610,71130327,0.0534
2660,72645162,0.0546
2710,70417677,0.0529
2760,71754172,0.0539
2810,70002488,0.0526
2860,70965478,0.0533
2910,71333146,0.0536
2960,73819814,0.0555
3010,72887504,0.0548
3060,70152291,0.0527
3110,72607899,0.0546
3160,71414690,0.0537
3210,70856554,0.0532
3260,73671814,0.0554
3310,73066289,0.0549
3360,72038324,0.0541
3410,70324017,0.0528
3460,70729660,0.0531
3510,70692626,0.0531
3560,71920222,0.0540
3610,73341959,0.0551
3660,74267007,0.0558
3710,71765055,0.0539
3760,71001517,0.0533
3810,72333935,0.0543
3860,74492526,0.0560
3910,71447773,0.0537
3960,74779673,0.0562
4010,73860772,0.0555
4060,75137305,0.0565
4110,74777794,0.0562
4160,73890007,0.0555
4210,75979673,0.0571
4260,75458204,0.0567
4310,74569961,0.0560
4360,75297433,0.0566
4410,75767529,0.0569
4460,74846045,0.0562
4510,75059419,0.0564
4560,78554443,0.0590
4610,75174170,0.0565
4660,76268467,0.0573
4710,77566547,0.0583
4760,77553572,0.0583
4810,75838839,0.0570
4860,77943675,0.0586
4910,77771486,0.0584
4960,77054474,0.0579
5010,78625072,0.0591
5060,77080097,0.0579
5110,77605368,0.0583
5160,77945026,0.0586
5210,79622152,0.0598
5260,79448280,0.0597
5310,78168534,0.0587
5360,79046701,0.0594
5410,78714143,0.0591
5460,80740623,0.0607
5510,79782112,0.0599
5560,80146550,0.0602
5610,80314661,0.0603
5660,79418961,0.0597
5710,79530059,0.0598
5760,80853040,0.0607
5810,81033026,0.0609
5860,80944404,0.0608
5910,83493669,0.0627
5960,80476077,0.0605
6010,83796391,0.0630
6060,83863247,0.0630
6110,81999289,0.0616
6160,83753464,0.0629
6210,82837132,0.0622
6260,83707999,0.0629
6310,81917598,0.0615
6360,84184775,0.0633
6410,82568042,0.0620
6460,84169977,0.0632
6510,85747020,0.0644
6560,83819996,0.0630
6610,83396098,0.0627
6660,86229297,0.0648
6710,85036852,0.0639
6760,83059782,0.0624
6810,86971135,0.0653
6860,87894196,0.0660
6910,84687621,0.0636
6960,85864473,0.0645
7010,86190139,0.0648
7060,88561196,0.0665
7110,88230114,0.0663
7160,87107369,0.0654
7210,86596426,0.0651
7260,86906161,0.0653
7310,87685496,0.0659
7360,86308714,0.0648
7410,87378010,0.0657
7460,88986263,0.0669
7510,89374032,0.0672
7560,88245692,0.0663
7610,88751236,0.0667
7660,89934036,0.0676
7710,90103017,0.0677
7760,89892100,0.0675
7810,88014432,0.0661
7860,90467145,0.0680
7910,90975485,0.0684
7960,92586977,0.0696
8010,90504224,0.0680
8060,91189757,0.0685
8110,89832784,0.0675
8160,93250173,0.0701
8210,90010626,0.0676
8260,93293712,0.0701
8310,93248287,0.0701
8360,92075952,0.0692
8410,91866884,0.0690
8460,92333948,0.0694
8510,93417445,0.0702
8560,91631359,0.0688
8610,91345916,0.0686
8660,96372071,0.0724
8710,94245382,0.0708
8760,96039727,0.0722
8810,94099984,0.0707
8860,94047553,0.0707
8910,92950368,0.0698
8960,95193626,0.0715
9010,92932456,0.0698
9060,94871363,0.0713
9110,95815522,0.0720
9160,100165275,0.0753
9210,99107501,0.0745
9260,98219377,0.0738
9310,97569797,0.0733
9360,96959620,0.0729
9410,97363791,0.0732
9460,99797141,0.0750
9510,99800969,0.0750
9560,99502358,0.0748
9610,100988299,0.0759
9660,102266546,0.0768
9710,101026405,0.0759
9760,100434064,0.0755
9810,101891217,0.0766
9860,100339009,0.0754
9910,99615693,0.0748
9960,100589283,0.0756
